timestamp,PT1_bar,PT2_bar,LC1_N,LC2_N,Flow_Lmin
12:51:04.695061,-202.04875946044922,-202.04875946044922,-100.86271286010742,-101.07879638671875,-9.624835014343262
12:51:04.756332,-200.64977645874023,-200.64977645874023,-100.51809310913086,-100.55594444274902,-9.560956954956055
12:51:04.819555,-202.4509620666504,-202.4509620666504,-101.0575008392334,-100.92107772827148,-9.614188194274902
12:51:04.882219,-200.6545066833496,-200.6545066833496,-100.52361488342285,-100.56856155395508,-9.562456130981445
12:51:04.952983,-200.52675247192383,-200.52675247192383,-100.50074577331543,-100.54884910583496,-9.561351776123047
12:51:05.015382,-202.4146842956543,-202.4146842956543,-101.35244369506836,-101.20970726013184,-9.595419883728027
12:51:05.078622,-200.47943115234375,-200.47943115234375,-100.49128532409668,-100.5417537689209,-9.561036109924316
12:51:05.129144,-201.43680572509766,-201.43680572509766,-101.1552906036377,-101.2751579284668,-9.637767791748047
12:51:05.197566,-202.30585098266602,-202.30585098266602,-101.1245346069336,-100.89426040649414,-9.60882568359375
12:51:05.259667,-200.65292358398438,-200.65292358398438,-100.52282333374023,-100.5638313293457,-9.561982154846191
12:51:05.329790,-202.05821990966797,-202.05821990966797,-101.3145923614502,-101.37452125549316,-9.643603324890137
12:51:05.393047,-201.71281814575195,-201.71281814575195,-101.2507152557373,-101.28698348999023,-9.602201461791992
12:51:05.456083,-200.1876449584961,-200.1876449584961,-100.46367645263672,-100.53465843200684,-9.559301376342773
12:51:05.518610,-202.42414474487305,-202.42414474487305,-101.3642692565918,-101.38556480407715,-9.612847328186035
12:51:05.566642,-200.6734275817871,-200.6734275817871,-100.5385971069336,-100.5811882019043,-9.56371784210205
12:51:05.628730,-202.4588394165039,-202.4588394165039,-101.29250526428223,-100.92817306518555,-9.606223106384277
12:51:05.691825,-200.61822891235352,-200.61822891235352,-100.52440643310547,-100.57487487792969,-9.563559532165527
12:51:05.753596,-202.44779586791992,-202.44779586791992,-101.38161659240723,-101.35401725769043,-9.604251861572266
12:51:05.817696,-200.63873291015625,-200.63873291015625,-100.5449104309082,-100.59380531311035,-9.5656099319458
12:51:05.881339,-202.50299453735352,-202.50299453735352,-101.17973327636719,-100.92422485351562,-9.613478660583496
12:51:05.944261,-201.6481590270996,-201.6481590270996,-101.24282836914062,-101.32562637329102,-9.640054702758789
12:51:06.006316,-200.85954666137695,-200.85954666137695,-100.56698799133301,-100.30754089355469,-9.516322135925293
12:51:06.069318,-202.22383499145508,-202.22383499145508,-101.34455680847168,-101.39345169067383,-9.645732879638672
12:51:06.133167,-200.82326889038086,-200.82326889038086,-100.30754089355469,-100.08357048034668,-9.531463623046875
12:51:06.194898,-200.84535598754883,-200.84535598754883,-100.56856155395508,-100.60168266296387,-9.565531730651855
12:51:06.256709,-202.45410919189453,-202.45410919189453,-101.38083457946777,-101.38319969177246,-9.61245346069336
12:51:06.320180,-200.4210662841797,-200.4210662841797,-100.49838066101074,-100.56304931640625,-9.562297821044922
12:51:06.383052,-202.47461318969727,-202.47461318969727,-101.3918685913086,-101.40922546386719,-9.61773681640625
12:51:06.445025,-201.641845703125,-201.641845703125,-101.22626304626465,-101.31143569946289,-9.639581680297852
12:51:06.508604,-200.85481643676758,-200.85481643676758,-100.56146621704102,-100.58355331420898,-9.538324356079102
12:51:06.571375,-201.9856834411621,-201.9856834411621,-101.29881858825684,-101.36269569396973,-9.64226245880127
12:51:06.746650,-202.28849411010742,-202.28849411010742,-100.84694862365723,-101.0299015045166,-9.622784614562988
12:51:06.899343,-200.8327293395996,-200.8327293395996,-100.5756664276123,-100.60720443725586,-9.56584644317627
